,회사명,종목코드
808,엔터메이트,206400
809,엔텔스,69410
810,엘디티,96870
811,엘아이에스,138690
812,엘컴텍,37950
813,예스티,122640
814,오스테오닉,226400
815,오텍,67170
816,원익머트리얼즈,104830
817,원익홀딩스,30530
818,원풍,8370
819,웰크론한텍,76080
820,웹젠,69080
821,위닉스,44340
822,위메이드,112040
823,유비벨록스,89850
824,유비쿼스,264450
825,유안타제4호스팩,313750
826,유진테크,84370
827,이건홀딩스,39020
828,이노와이어리스,73490
829,이녹스첨단소재,272290
830,이랜텍,54210
831,이미지스,115610
832,이수앱지스,86890
833,인성정보,33230
834,인탑스,49070
835,인터파크,35080
836,재영솔루텍,49630
837,제낙스,65620
838,제이티,89790
839,지티지웰니스,219750
840,진바이오텍,86060
841,진성티이씨,36890
842,카이노스메드,284620
843,캐리소프트,317530
844,캔서롭,180400
845,캠시스,50110
846,케이비제18호스팩,323940
847,케이피에프,24880
848,코나아이,52400
849,코드네이처,78940
850,코디엠,224060
851,코리아에셋투자증권,190650
852,코미코,183300
853,코썬바이오,204990
854,코이즈,121850
855,키이스트,54780
856,탑엔지니어링,65130
857,태웅로직스,124560
858,텔콘RF제약,200230
859,토비스,51360
860,티라유텍,322180
861,티씨케이,64760
862,파라다이스,34230
863,파버나인,177830
864,파워넷,37030
865,팍스넷,38160
866,프로텍,53610
867,피에스케이,319660
868,픽셀플러스,87600
869,필옵틱스,161580
870,하나금융14호스팩,332710
871,하나금융16호스팩,343510
872,한국제7호스팩,291210
873,한국캐피탈,23760
874,한일네트웍스,46110
875,헬릭스미스,84990
876,휴온스글로벌,84110
877,희림,37440
878,단디바이오,343090
879,도부마스크,227420
880,럭스피아,92590
881,무진메디,322970
882,바이오프로테크,199290
883,씨앤에스링크,245450
884,엄지하우스,224810
885,에스앤디,260970
886,에스제이켐,217910
887,엠에프엠코리아,251960
888,유엑스엔,337840
889,이십일스토어,270020
890,이엠티,232530
891,태양기계,116100
892,피엔아이컴퍼니,242350
893,한중엔시에스,107640
894,DSR제강,69730
895,JW중외제약,1060
896,KPX홀딩스,92230
897,KSS해운,44450
898,LF,93050
899,LG하우시스,108670
900,LG화학,51910
901,LIG넥스원,79550
902,LS,6260
903,NAVER,35420
904,NH투자증권,5940
905,NICE,34310
906,NI스틸,8260
907,SH에너지화학,2360
908,SK증권,1510
909,SK하이닉스,660
910,경인양행,12610
911,경인전자,9140
912,기신정기,92440
913,녹십자,6280
914,대교,19680
915,대동전자,8110
916,대림비앤코,5750
917,대양금속,9190
918,대창,12800
919,동국제강,1230
920,동화약품,20
921,두산솔루스,336370
922,디아이동일,1530
923,디아이씨,92200
924,롯데관광개발,32350
925,롯데케미칼,11170
926,맵스리얼티1,94800
927,무학,33920
928,미래아이앤지,7120
929,바다로19호,155900
930,부산주공,5030
931,비케이탑스,30790
932,비티원,101140
933,사조씨푸드,14710
934,삼성물산,28260
935,삼성전자,5930
936,삼성제약,1360
937,삼원강재,23000
938,삼익THK,4380
939,삼일제약,520
940,삼진제약,5500
941,삼화왕관,4450
942,서연,7860
943,선창산업,2820
944,성신양회,4980
945,세기상사,2420
946,세아특수강,19440
947,세우글로벌,13000
948,세원정공,21820
949,세진중공업,75580
950,세화아이엠씨,145210
951,셀트리온,68270
952,신라교역,4970
953,신성통상,5390
954,신세계,4170
955,신풍제약,19170
956,아모레퍼시픽,90430
957,아세아,2030
958,아이에스동서,10780
959,에스제이엠,123700
960,에이리츠,140910
961,에이엔피,15260
962,엔케이,85310
963,엔피씨,4250
964,영원무역홀딩스,9970
965,우리들휴브레인,118000
966,우신시스템,17370
967,우진,105840
968,우진플라임,49800
969,유니드,14830
970,유진증권,1200
971,이건산업,8250
972,이연제약,102460
973,인스코비,6490
974,잇츠한불,226320
975,조광페인트,4910
976,조선내화,480
977,지누스,13890
978,진에어,272450
979,참엔지니어링,9310
980,케이씨씨,2380
981,케이씨씨글라스,344820
982,코리아오토글라스,152330
983,코오롱글로벌,3070
984,태경케미컬,6890
985,태광산업,3240
986,토니모리,214420
987,페이퍼코리아,1020
988,포스코,5490
989,하나제약,293480
990,한국쉘석유,2960
991,한국화장품제조,3350
992,한미글로벌,53690
993,한솔피엔에스,10420
994,한양증권,1750
995,한진중공업,97230
996,한진중공업홀딩스,3480
997,한진칼,180640
998,한화,880
999,한화솔루션,9830
1000,현대일렉트릭,267260
1001,현대제철,4020
1002,황금에스티,32560
1003,DSC인베스트먼트,241520
1004,NHN벅스,104200
1005,SDN,99220
1006,SK4호스팩,307070
1007,SKC 솔믹스,57500
1008,SK머티리얼즈,36490
1009,UCI,38340
1010,WI,73570
1011,가비아,79940
1012,경남스틸,39240
1013,국일신동,60480
1014,글로벌텍스프리,204620
1015,글로본,19660
1016,나노,187790
1017,네오셈,253590
1018,네오위즈홀딩스,42420
1019,네이블커뮤니케이션즈,153460
1020,넥스트BT,65170
1021,대성미생물,36480
1022,대신밸런스제7호스팩,332290
1023,대양전기공업,108380
1024,대원,7680
1025,대한뉴팜,54670
1026,덕산테코피아,317330
1027,덕산하이메탈,77360
1028,동국산업,5160
1029,동국제약,86450
1030,동신건설,25950
1031,동진쎄미켐,5290
1032,디바이스이엔지,187870
1033,디알젬,263690
1034,디에스티,33430
1035,라이브파이낸셜,36170
1036,라이온켐텍,171120
1037,레이크머티리얼즈,281740
1038,로지시스,67730
1039,링네트,42500
1040,마이크로프랜드,147760
1041,메가스터디교육,215200
1042,모헨즈,6920
1043,민앤지,214180
1044,바이온,32980
1045,비에이치아이,83650
1046,새로닉스,42600
1047,서연탑메탈,19770
1048,서울반도체,46890
1049,서울전자통신,27040
1050,서원인텍,93920
1051,선데이토즈,123420
1052,성호전자,43260
1053,세원,234100
